customer_id,name,age,email,salary,department,join_date,is_active,performance_score
CUST-00000001,Customer_1,56,customer1@example.com,92459,HR,2020-01-01,True,6.633457030914156
CUST-00000002,Customer_2,69,customer2@example.com,70709,Engineering,2020-01-02,False,8.383841593941412
CUST-00000003,Customer_3,46,customer3@example.com,52320,Sales,2020-01-03,True,6.863362946720092
CUST-00000004,Customer_4,32,customer4@example.com,104715,Sales,2020-01-04,True,2.8601592388907084
CUST-00000005,Customer_5,60,customer5@example.com,94638,Marketing,2020-01-05,True,3.465650145890204
CUST-00000006,Customer_6,25,customer6@example.com,141400,Engineering,2020-01-06,True,2.931302077375367
CUST-00000007,Customer_7,78,customer7@example.com,81587,Engineering,2020-01-07,True,4.395331749051783
CUST-00000008,Customer_8,38,customer8@example.com,116044,HR,2020-01-08,True,1.3506681907921028
CUST-00000009,Customer_9,56,customer9@example.com,86520,Marketing,2020-01-09,True,6.564284959041036
CUST-00000010,Customer_10,75,customer10@example.com,77148,Engineering,2020-01-10,True,4.028987933998538
CUST-00000011,Customer_11,36,customer11@example.com,37251,Engineering,2020-01-11,True,6.90150371842668
CUST-00000012,Customer_12,40,customer12@example.com,93037,Marketing,2020-01-12,True,4.468569588690086
CUST-00000013,Customer_13,28,customer13@example.com,53914,Engineering,2020-01-13,True,7.134523020755108
CUST-00000014,Customer_14,28,customer14@example.com,62166,Sales,2020-01-14,True,4.06562112517816
CUST-00000015,Customer_15,41,customer15@example.com,73911,Marketing,2020-01-15,True,3.346250754123128
CUST-00000016,Customer_16,70,customer16@example.com,68117,Sales,2020-01-16,True,5.464337088640655
CUST-00000017,Customer_17,53,customer17@example.com,35923,HR,2020-01-17,False,7.2360132282274545
CUST-00000018,Customer_18,57,customer18@example.com,55109,Engineering,2020-01-18,True,4.135029440078776
CUST-00000019,Customer_19,41,customer19@example.com,98264,Sales,2020-01-19,True,9.429833366701365
CUST-00000020,Customer_20,20,customer20@example.com,91944,Sales,2020-01-20,True,1.3526769400808163
CUST-00000021,Customer_21,39,customer21@example.com,92461,Engineering,2020-01-21,True,4.761514285440208
CUST-00000022,Customer_22,70,customer22@example.com,79340,Engineering,2020-01-22,True,9.708224963682227
CUST-00000023,Customer_23,19,customer23@example.com,91557,Marketing,2020-01-23,True,5.931746949232786
CUST-00000024,Customer_24,41,customer24@example.com,81028,Sales,2020-01-24,False,4.811238480773067
CUST-00000025,Customer_25,61,customer25@example.com,70794,Engineering,2020-01-25,False,6.116682553749625
CUST-00000026,Customer_26,47,customer26@example.com,104119,Marketing,2020-01-26,False,6.183321177322761
CUST-00000027,Customer_27,55,customer27@example.com,68856,Marketing,2020-01-27,True,7.584829797696762
CUST-00000028,Customer_28,19,customer28@example.com,55758,Sales,2020-01-28,True,2.1492075648021904
CUST-00000029,Customer_29,77,customer29@example.com,105304,Marketing,2020-01-29,True,3.250148042944942
CUST-00000030,Customer_30,38,customer30@example.com,105837,Engineering,2020-01-30,True,6.224896111095188
CUST-00000031,Customer_31,50,customer31@example.com,35646,Engineering,2020-01-31,True,8.804049464887498
CUST-00000032,Customer_32,29,customer32@example.com,90948,HR,2020-02-01,False,6.0568002292939624
CUST-00000033,Customer_33,75,customer33@example.com,23889,Marketing,2020-02-02,True,3.1473717381130615
CUST-00000034,Customer_34,39,customer34@example.com,101737,Marketing,2020-02-03,False,7.1186030191022125
CUST-00000035,Customer_35,78,customer35@example.com,51655,Sales,2020-02-04,True,7.65917884402637
CUST-00000036,Customer_36,61,customer36@example.com,94605,Marketing,2020-02-05,False,3.144125371635815
CUST-00000037,Customer_37,42,customer37@example.com,59628,Marketing,2020-02-06,True,4.399559975586653
